Kreis;Beschaeftigte;Beschaeftigte-Baugewerbe;Anteil-Baugewerbe;Anteil-Hochschulabschluss;Einkommen-Median;Universitaeten-Mittel;Patente
5316;60777;2684;0.0441614427;0.1794593349;3573;0;89.7997
5334;183777;7507;0.0408484196;0.1781561349;2836;694404;199.253
5358;71509;4053;0.0566781804;0.1186843614;2819;8812;57.5061
5362;120118;8869;0.0738357282;0.111673521;2799;12512;45.2401
5366;48063;3779;0.0786259701;0.0887168924;2637;4144;23.4762
5370;55092;5082;0.0922456981;0.0821716402;2487;0;35.0429
5374;87203;4402;0.0504799147;0.1282983384;2793;0;60.6678
5378;65434;4194;0.0640951187;0.1384448452;2751;2082.15;122.927
5382;132689;8890;0.0669987716;0.1208766363;2598;35367;138.826
5512;32183;1860;0.0577944878;0.0794208122;2801;0;9.47619
5513;73105;4313;0.0589973326;0.1090486287;2792;2900.76;12.9151
5515;140498;4673;0.0332602599;0.1894760068;2916;616433;60.7694
5554;117389;11298;0.0962441115;0.0730988423;2648;1343.67;52.6695
5558;56468;3526;0.0624424453;0.0813558121;2550;362;47.8588
5562;146844;10650;0.0725259459;0.094365449;2744;617.33;104.114
5566;130193;8979;0.0689668415;0.095389153;2555;747;86.1976
5570;80089;4902;0.0612069073;0.0983405961;2734;0;59.3357
5711;130701;4198;0.0321191116;0.1472903803;2806;155768;68.0497
5754;139882;7125;0.0509357887;0.101778642;2778;0;90.3324
5758;82614;4683;0.0566853076;0.0862323577;2605;1158;64.0271
5762;40038;2570;0.0641890204;0.0768769669;2466;1748;22.2706
5766;101301;6064;0.0598612057;0.1056060651;2663;33434;72.5206
5770;113661;5326;0.046858641;0.0960575747;2606;3539;62.0521
5774;102791;5616;0.0546351334;0.1318014223;2640;113966;83.446
5911;122118;5873;0.0480928282;0.1388411209;2883;292155;61.0298
5913;201839;10724;0.0531314563;0.1457002859;2856;178725;63.6062
5914;66068;2702;0.0408972574;0.1041805413;2838;38878.1;13.5262
5915;50952;3094;0.0607238185;0.0944614539;2609;0;1.71026
5916;46335;3895;0.0840617244;0.101003561;2879;0;11.4992
5954;95741;4243;0.0443174815;0.1120836423;2813;20325;81.6639
5958;90301;5380;0.0595785207;0.0839414846;2688;10826.2;44.0416
